Blue Mastery 1,Blue Mastery 2,Blue Mastery 3,Blue Mastery 4,Blue Mastery 5,Blue Masteries Avg,Blue Mastery Min,Blue Mastery Max,Blue Masteries Median,Blue Masteries Kurtorsis,Blue Masteries Skewness,Blue Masteries Std,Blue Masteries Variance,Blue Winrate 1,Blue Winrate 2,Blue Winrate 3,Blue Winrate 4,Blue Winrate 5,Blue Winrates Avg,Blue Winrate Min,Blue Winrate Max,Blue Winrates Median,Blue Winrates Kurtorsis,Blue Winrates Skewness,Blue Winrates Std,Blue Winrates Variance,Red Mastery 1,Red Mastery 2,Red Mastery 3,Red Mastery 4,Red Mastery 5,Red Mastery Min,Red Mastery Max,Red Masteries Avg,Red Masteries Median,Red Masteries Kurtorsis,Red Masteries Skewness,Red Masteries Std,Red Masteries Variance,Red Winrate 1,Red Winrate 2,Red Winrate 3,Red Winrate 4,Red Winrate 5,Red Winrates Avg,Red Winrate Min,Red Winrate Max,Red Winrates Median,Red Winrates Kurtorsis,Red Winrates Skewness,Red Winrates Std,Red Winrates Variance,Blue Won
170635,683677,278101,83441,31348,249440.4,31348,683677,170635,2.538579615,1.572964629,232685.7286,54142648316,0.539130435,0.547445255,0.518518519,0.525423729,0.695652174,0.565234022,0.518518519,0.695652174,0.539130435,4.534857171,2.105856973,0.065990802,0.004354786,97458,946637,223,4665,18232,223,946637,213443,18232,4.809888515,2.186534401,368289.1033,1.35637E+11,0.619047619,0.705882353,0,0.5,0.846153846,0.534216764,0,0.846153846,0.619047619,2.386076708,-1.423719649,0.290009803,0.084105686,1
964,138702,361495,6197,1227846,347040.8,964,1227846,138702,3.341509406,1.823944783,459429.0864,2.11075E+11,0,0.540178571,0.663551402,0.375,0.436781609,0.403102316,0,0.663551402,0.436781609,1.952250841,-1.198964931,0.224071033,0.050207828,5293,7640,174282,65395,5315,5293,174282,51585,7640,2.404259095,1.661111746,65513.80785,4292059020,0.5,0.375,0.561983471,0.6,0.571428571,0.521682409,0.375,0.6,0.561983471,1.817343699,-1.439407069,0.080272483,0.006443671,0
50009,643249,8158,1139,164256,173362.2,1139,643249,50009,3.785850708,1.938460306,242093.287,58609159592,0.5,0.568627451,1,1,0.558823529,0.725490196,0.5,1,0.568627451,-3.248793581,0.557879941,0.225362283,0.050788158,297207,12159,1536337,6382,8183,6382,1536337,372053.6,12159,4.245876233,2.052996002,592756.1901,3.5136E+11,0.539379475,0.5,0.543424318,0.5,0.5,0.516560759,0.5,0.543424318,0.5,-3.228035825,0.626621553,0.020322996,0.000413024,1
57327,72467,12533,163631,144886,90168.8,12533,163631,72467,-1.944614985,0.086137233,56231.5246,3161984359,0.25,0.577981651,0.45,0.431818182,0.384615385,0.418883044,0.25,0.577981651,0.431818182,1.241636592,-0.199848291,0.105965754,0.011228741,16912,13527,741201,110989,2471,2471,741201,177020,16912,4.605698434,2.13648145,284777.8713,81098435967,0.518518519,0.363636364,0.569852941,0.333333333,1,0.557068231,0.333333333,1,0.518518519,2.416843133,1.496215831,0.23887707,0.057062255,0
287814,30101,45142,14843,62416,88063.2,14843,287814,45142,4.519403684,2.101458159,101114.9887,10224240939,0,0.52,0.333333333,0.4,0.620253165,0.3747173,0,0.620253165,0.4,1.472806177,-1.093021498,0.211735602,0.044831965,62542,161505,139008,70776,55594,55594,161505,97885,70776,-2.574229794,0.673210402,43614.58412,1902231948,0.5,0.540178571,0.6,0.4,0.65,0.538035714,0.4,0.65,0.540178571,-0.103506398,-0.491162858,0.085884504,0.007376148,0
15207,22844,30144,87175,2595,31593,2595,87175,22844,3.291157447,1.695049988,29248.5498,855477665.2,0.8,0.875,0.375,0.833333333,0.5,0.676666667,0.375,0.875,0.8,-2.256836758,-0.717577691,0.200651716,0.040261111,243610,3383,31309,16773,61631,3383,243610,71341.2,31309,4.030299633,1.9806045,88282.96537,7793881975,0.5,0.6,0.609756098,0.5,0.642857143,0.570522648,0.5,0.642857143,0.6,-2.829125241,-0.338712795,0.059308254,0.003517469,1
80711,737,135430,575614,3484,159195.2,737,575614,80711,3.896689151,1.939297461,214235.4547,45896830065,0.546875,0,0.5625,0.581589958,0.6,0.458192992,0,0.6,0.5625,4.880039592,-2.202299174,0.229791778,0.052804261,122036,42881,360807,88164,140331,42881,360807,150843.8,122036,3.408335086,1.726008373,110099.6614,12121935434,0.530201342,0.651515152,0.583333333,0.709677419,0.642857143,0.623516878,0.530201342,0.709677419,0.642857143,-0.483997443,-0.267586262,0.061488364,0.003780819,0
1054920,77481,173,787948,42637,392631.8,173,1054920,77481,-2.367041157,0.758556284,440622.4811,1.94148E+11,0.525,0.6,0,0.517730496,0.454545455,0.41945519,0,0.6,0.517730496,4.127997542,-1.979496444,0.214740846,0.046113631,1028,19444,237162,64123,123352,1028,237162,89021.8,64123,0.58918358,1.086968481,85238.50165,7265602164,1,0.555555556,0.575,0.583333333,0.545454545,0.651868687,0.545454545,1,0.575,4.881638607,2.202820621,0.174586076,0.030480298,0
280501,118193,48015,2483245,9281,587847,9281,2483245,118193,4.805693759,2.184248993,952231.8233,9.06745E+11,0.498964803,0.548387097,0.608695652,0.510825982,0.5,0.533374707,0.498964803,0.608695652,0.510825982,1.274021215,1.400821273,0.04172523,0.001740995,25168,11445,328980,169685,14162,11445,328980,109888,25168,0.455084201,1.278294004,124586.4803,15521791080,0.4,0.25,0.577287066,0.666666667,0.5,0.478790747,0.25,0.666666667,0.5,-0.384182193,-0.483861388,0.144223373,0.020800381,0
60959,42036,425070,56118,65558,129948.2,42036,425070,60959,4.944130398,2.219994502,147771.403,21836387550,0.596491228,0.673469388,0.64516129,0.625,0.485714286,0.605167238,0.485714286,0.673469388,0.625,2.341806665,-1.439821971,0.064810998,0.004200465,20623,60286,44955,135541,18663,18663,135541,56013.6,44955,2.484121919,1.552936472,42691.25268,1822543055,0.714285714,0.671641791,0.333333333,0.8125,0.55,0.616352168,0.333333333,0.8125,0.671641791,0.716923305,-0.954817319,0.164696184,0.027124833,0
